[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397063. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397064. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397065. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397066. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397067. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397068. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Jun, Id:1000010720. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:zone1 Human Citizen M, Id:1000010798. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:zone1 Human Citizen M, Id:1000051898. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:zone1 Human Citizen M, Id:1000059739. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:zone1 Human Citizen M, Id:1000064485. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:zone1 Human Citizen M, Id:1001482691. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:34. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:35. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1010850. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:PeasantA, Id:1010858. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1031761. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1031801. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1045894. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1045951. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1052604. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1066945. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1067014. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1073590. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1073596. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1094445. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1115382. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1115434. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:2394643. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:2394644. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Low Level Female-25, Id:44397024. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397025. Logic count: 1
[26.02.2026 21:12:28] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397026. Logic count: 1
